is_demo_data,record_id,centre_id,centre_name,distance_km,crop_type,quantity_kg,time_slot,weighbridges_active,centre_capacity_mt,current_utilization_ratio,queue_length_at_arrival,diversion_active,crop_compatible,actual_wait_time_minutes,disclaimer
TRUE,DEMO-00022,C-03,Centre C - Memari Procurement Depot,25.8,Potato,2140.0,16:00 - 18:00,2,60,0.16,3,0,1,29.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00023,C-01,Centre A - Burdwan Mandi,40.9,Paddy,3040.0,08:00 - 10:00,3,80,0.21,2,0,1,23.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00024,C-02,Centre B - Singur Agro Hub,22.3,Maize,2790.0,16:00 - 18:00,4,100,0.82,1,0,0,14.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00025,C-01,Centre A - Burdwan Mandi,20.2,Mustard,1740.0,12:00 - 14:00,3,80,0.76,5,0,1,24.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00026,C-04,Centre D - Ranaghat Krishak Mandi,12.7,Wheat,830.0,08:00 - 10:00,3,90,0.52,4,0,1,15.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00027,C-03,Centre C - Memari Procurement Depot,39.6,Mustard,450.0,10:00 - 12:00,2,60,0.82,10,0,0,42.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00028,C-05,Centre E - Kalyani Storage & Hub,41.8,Potato,3000.0,08:00 - 10:00,2,50,0.29,4,0,1,36.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00029,C-02,Centre B - Singur Agro Hub,9.1,Mustard,210.0,08:00 - 10:00,4,100,0.47,8,0,1,15.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00030,C-06,Centre F - Guskara Sub-Mandi,8.7,Maize,1180.0,14:00 - 16:00,2,40,0.95,12,1,0,85.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00031,C-01,Centre A - Burdwan Mandi,4.2,Wheat,1770.0,08:00 - 10:00,3,80,0.91,9,1,1,68.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00032,C-02,Centre B - Singur Agro Hub,4.9,Potato,3040.0,16:00 - 18:00,4,100,0.49,4,0,1,22.5,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00033,C-05,Centre E - Kalyani Storage & Hub,27.6,Paddy,2240.0,16:00 - 18:00,2,50,0.5,3,0,1,18.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00034,C-02,Centre B - Singur Agro Hub,13.4,Wheat,630.0,10:00 - 12:00,4,100,0.69,6,0,0,12.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00035,C-01,Centre A - Burdwan Mandi,28.7,Potato,2060.0,14:00 - 16:00,3,80,0.23,3,0,1,18.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00036,C-03,Centre C - Memari Procurement Depot,17.9,Potato,720.0,10:00 - 12:00,2,60,0.84,8,0,1,33.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00037,C-05,Centre E - Kalyani Storage & Hub,30.7,Maize,2030.0,08:00 - 10:00,2,50,0.92,6,1,1,69.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00038,C-06,Centre F - Guskara Sub-Mandi,13.7,Maize,2200.0,10:00 - 12:00,2,40,0.75,3,1,0,57.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00039,C-06,Centre F - Guskara Sub-Mandi,23.0,Wheat,3190.0,16:00 - 18:00,2,40,0.85,0,1,0,48.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00040,C-01,Centre A - Burdwan Mandi,29.4,Wheat,1060.0,10:00 - 12:00,3,80,0.77,7,0,1,24.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00041,C-04,Centre D - Ranaghat Krishak Mandi,6.8,Maize,3320.0,08:00 - 10:00,3,90,0.72,2,0,0,31.0,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00042,C-05,Centre E - Kalyani Storage & Hub,7.5,Paddy,1220.0,14:00 - 16:00,2,50,0.9,15,0,1,76.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00043,C-01,Centre A - Burdwan Mandi,31.3,Wheat,2400.0,10:00 - 12:00,3,80,0.44,7,0,1,37.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00044,C-06,Centre F - Guskara Sub-Mandi,39.2,Paddy,3420.0,10:00 - 12:00,2,40,0.82,10,1,1,81.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00045,C-01,Centre A - Burdwan Mandi,35.6,Paddy,1560.0,12:00 - 14:00,3,80,0.71,6,0,1,24.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00046,C-06,Centre F - Guskara Sub-Mandi,39.5,Potato,3030.0,14:00 - 16:00,2,40,0.33,5,1,0,68.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00047,C-04,Centre D - Ranaghat Krishak Mandi,37.3,Wheat,3080.0,12:00 - 14:00,3,90,0.34,5,0,1,31.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00048,C-01,Centre A - Burdwan Mandi,29.6,Wheat,1520.0,12:00 - 14:00,3,80,0.96,8,1,1,65.0,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00049,C-01,Centre A - Burdwan Mandi,27.0,Wheat,3450.0,10:00 - 12:00,3,80,0.18,7,0,1,35.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00050,C-04,Centre D - Ranaghat Krishak Mandi,7.0,Maize,3170.0,16:00 - 18:00,3,90,0.31,0,0,0,26.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00051,C-04,Centre D - Ranaghat Krishak Mandi,41.8,Potato,1980.0,16:00 - 18:00,3,90,0.75,3,0,0,19.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00052,C-01,Centre A - Burdwan Mandi,15.5,Wheat,3000.0,16:00 - 18:00,3,80,0.75,1,0,1,19.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00053,C-03,Centre C - Memari Procurement Depot,19.3,Mustard,1180.0,12:00 - 14:00,2,60,0.26,3,0,0,24.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00054,C-02,Centre B - Singur Agro Hub,14.9,Maize,2010.0,16:00 - 18:00,4,100,0.15,1,0,0,10.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00055,C-04,Centre D - Ranaghat Krishak Mandi,30.2,Maize,1730.0,16:00 - 18:00,3,90,0.52,1,0,0,8.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00056,C-06,Centre F - Guskara Sub-Mandi,14.2,Paddy,2390.0,08:00 - 10:00,2,40,0.66,1,1,1,47.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00057,C-02,Centre B - Singur Agro Hub,36.7,Wheat,690.0,10:00 - 12:00,4,100,0.19,11,0,0,18.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00058,C-04,Centre D - Ranaghat Krishak Mandi,10.4,Mustard,2500.0,16:00 - 18:00,3,90,0.56,1,0,1,16.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00059,C-06,Centre F - Guskara Sub-Mandi,35.5,Potato,920.0,08:00 - 10:00,2,40,0.82,6,1,0,46.0,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00060,C-01,Centre A - Burdwan Mandi,36.5,Mustard,2400.0,10:00 - 12:00,3,80,0.97,17,1,1,91.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00061,C-04,Centre D - Ranaghat Krishak Mandi,20.3,Maize,3190.0,16:00 - 18:00,3,90,0.52,1,0,0,27.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00062,C-02,Centre B - Singur Agro Hub,22.8,Wheat,990.0,16:00 - 18:00,4,100,0.52,3,0,0,7.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00063,C-02,Centre B - Singur Agro Hub,15.7,Wheat,1980.0,12:00 - 14:00,4,100,0.26,2,0,0,12.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00064,C-01,Centre A - Burdwan Mandi,16.2,Mustard,1740.0,14:00 - 16:00,3,80,0.2,5,0,1,18.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00065,C-04,Centre D - Ranaghat Krishak Mandi,38.8,Maize,2730.0,08:00 - 10:00,3,90,0.47,1,0,0,18.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00066,C-04,Centre D - Ranaghat Krishak Mandi,36.4,Maize,3160.0,16:00 - 18:00,3,90,0.56,1,0,0,28.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00067,C-04,Centre D - Ranaghat Krishak Mandi,16.5,Potato,2440.0,14:00 - 16:00,3,90,0.49,1,0,0,18.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00068,C-05,Centre E - Kalyani Storage & Hub,41.0,Maize,2150.0,08:00 - 10:00,2,50,0.7,1,0,1,18.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00069,C-04,Centre D - Ranaghat Krishak Mandi,9.8,Paddy,1060.0,14:00 - 16:00,3,90,0.42,3,0,1,11.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00070,C-03,Centre C - Memari Procurement Depot,37.9,Mustard,1750.0,12:00 - 14:00,2,60,0.77,1,0,0,22.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00071,C-03,Centre C - Memari Procurement Depot,35.6,Paddy,2350.0,08:00 - 10:00,2,60,0.78,8,0,1,47.0,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00072,C-02,Centre B - Singur Agro Hub,22.4,Paddy,580.0,10:00 - 12:00,4,100,0.94,12,1,1,59.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00073,C-03,Centre C - Memari Procurement Depot,28.1,Paddy,2670.0,16:00 - 18:00,2,60,0.25,4,0,1,36.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00074,C-01,Centre A - Burdwan Mandi,31.1,Wheat,3360.0,16:00 - 18:00,3,80,0.48,3,0,1,28.5,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00075,C-01,Centre A - Burdwan Mandi,6.4,Maize,2750.0,10:00 - 12:00,3,80,0.86,11,0,1,59.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00076,C-01,Centre A - Burdwan Mandi,20.4,Wheat,1420.0,16:00 - 18:00,3,80,0.57,2,0,1,10.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00077,C-04,Centre D - Ranaghat Krishak Mandi,20.6,Mustard,1400.0,08:00 - 10:00,3,90,0.89,9,0,1,41.5,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00078,C-06,Centre F - Guskara Sub-Mandi,36.8,Wheat,1980.0,16:00 - 18:00,2,40,0.55,2,1,0,47.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00079,C-06,Centre F - Guskara Sub-Mandi,15.9,Maize,1010.0,12:00 - 14:00,2,40,0.93,9,1,0,76.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00080,C-05,Centre E - Kalyani Storage & Hub,3.2,Mustard,3010.0,12:00 - 14:00,2,50,0.3,2,0,1,30.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00081,C-03,Centre C - Memari Procurement Depot,39.9,Wheat,2510.0,12:00 - 14:00,2,60,0.38,1,0,0,24.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00082,C-06,Centre F - Guskara Sub-Mandi,25.9,Mustard,990.0,14:00 - 16:00,2,40,0.55,4,1,1,43.0,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00083,C-04,Centre D - Ranaghat Krishak Mandi,14.7,Potato,1530.0,08:00 - 10:00,3,90,0.35,6,0,0,22.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00084,C-03,Centre C - Memari Procurement Depot,16.2,Mustard,2520.0,16:00 - 18:00,2,60,0.37,1,0,0,26.5,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00085,C-01,Centre A - Burdwan Mandi,7.1,Paddy,1970.0,12:00 - 14:00,3,80,0.78,2,0,1,18.2,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00086,C-06,Centre F - Guskara Sub-Mandi,27.7,Maize,3440.0,16:00 - 18:00,2,40,0.84,1,1,0,59.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00087,C-03,Centre C - Memari Procurement Depot,2.6,Paddy,1960.0,12:00 - 14:00,2,60,0.38,7,0,1,35.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00088,C-02,Centre B - Singur Agro Hub,39.5,Mustard,2090.0,08:00 - 10:00,4,100,0.54,4,0,1,16.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00089,C-02,Centre B - Singur Agro Hub,42.5,Potato,1780.0,12:00 - 14:00,4,100,0.83,3,0,1,18.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00090,C-01,Centre A - Burdwan Mandi,36.9,Paddy,3330.0,10:00 - 12:00,3,80,0.22,4,0,1,32.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00091,C-05,Centre E - Kalyani Storage & Hub,27.6,Mustard,2240.0,16:00 - 18:00,2,50,0.79,2,0,1,24.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00092,C-05,Centre E - Kalyani Storage & Hub,26.5,Mustard,400.0,12:00 - 14:00,2,50,0.95,11,1,1,74.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00093,C-02,Centre B - Singur Agro Hub,30.4,Paddy,720.0,12:00 - 14:00,4,100,0.29,1,0,1,8.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00094,C-05,Centre E - Kalyani Storage & Hub,3.4,Mustard,1150.0,12:00 - 14:00,2,50,0.38,7,0,1,32.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00095,C-01,Centre A - Burdwan Mandi,35.9,Paddy,2260.0,12:00 - 14:00,3,80,0.7,7,0,1,27.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00096,C-06,Centre F - Guskara Sub-Mandi,37.5,Paddy,440.0,12:00 - 14:00,2,40,0.29,3,1,1,36.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00097,C-06,Centre F - Guskara Sub-Mandi,20.9,Maize,1750.0,12:00 - 14:00,2,40,0.4,3,1,0,46.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00098,C-04,Centre D - Ranaghat Krishak Mandi,3.7,Potato,1630.0,16:00 - 18:00,3,90,0.42,1,0,0,17.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00099,C-01,Centre A - Burdwan Mandi,27.2,Paddy,270.0,16:00 - 18:00,3,80,0.78,4,0,1,6.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00100,C-02,Centre B - Singur Agro Hub,30.0,Mustard,3220.0,16:00 - 18:00,4,100,0.3,3,0,1,19.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00101,C-06,Centre F - Guskara Sub-Mandi,22.2,Mustard,1550.0,08:00 - 10:00,2,40,0.42,1,1,1,39.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00102,C-04,Centre D - Ranaghat Krishak Mandi,37.0,Wheat,2020.0,14:00 - 16:00,3,90,0.53,2,0,1,21.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00103,C-03,Centre C - Memari Procurement Depot,39.2,Potato,2920.0,14:00 - 16:00,2,60,0.15,5,0,1,39.9,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00104,C-05,Centre E - Kalyani Storage & Hub,34.5,Wheat,2260.0,16:00 - 18:00,2,50,0.78,1,0,1,19.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00105,C-05,Centre E - Kalyani Storage & Hub,20.8,Paddy,2500.0,12:00 - 14:00,2,50,0.25,7,0,1,39.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00106,C-02,Centre B - Singur Agro Hub,2.6,Wheat,1550.0,16:00 - 18:00,4,100,0.34,4,0,0,13.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00107,C-01,Centre A - Burdwan Mandi,29.9,Mustard,710.0,08:00 - 10:00,3,80,0.92,12,1,1,66.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00108,C-04,Centre D - Ranaghat Krishak Mandi,25.7,Paddy,1470.0,14:00 - 16:00,3,90,0.92,8,1,1,69.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00109,C-01,Centre A - Burdwan Mandi,16.6,Wheat,2800.0,14:00 - 16:00,3,80,0.37,0,0,1,17.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00110,C-05,Centre E - Kalyani Storage & Hub,21.2,Mustard,1800.0,10:00 - 12:00,2,50,0.43,9,0,1,38.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00111,C-04,Centre D - Ranaghat Krishak Mandi,39.4,Mustard,3440.0,12:00 - 14:00,3,90,0.35,3,0,1,33.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00112,C-03,Centre C - Memari Procurement Depot,18.6,Mustard,2390.0,14:00 - 16:00,2,60,0.83,6,0,0,37.7,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00113,C-04,Centre D - Ranaghat Krishak Mandi,23.6,Potato,2150.0,10:00 - 12:00,3,90,0.87,17,0,0,75.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00114,C-01,Centre A - Burdwan Mandi,39.5,Paddy,3400.0,14:00 - 16:00,3,80,0.21,5,0,1,37.6,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00115,C-03,Centre C - Memari Procurement Depot,31.8,Wheat,2340.0,16:00 - 18:00,2,60,0.86,14,0,0,75.4,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00116,C-06,Centre F - Guskara Sub-Mandi,3.5,Mustard,430.0,16:00 - 18:00,2,40,0.67,4,1,1,36.5,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00117,C-02,Centre B - Singur Agro Hub,44.1,Potato,2710.0,14:00 - 16:00,4,100,0.73,1,0,1,17.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00118,C-01,Centre A - Burdwan Mandi,36.2,Potato,1170.0,12:00 - 14:00,3,80,0.46,2,0,1,14.5,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00119,C-05,Centre E - Kalyani Storage & Hub,31.3,Mustard,790.0,16:00 - 18:00,2,50,0.3,3,0,1,12.5,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00120,C-04,Centre D - Ranaghat Krishak Mandi,12.0,Maize,2310.0,10:00 - 12:00,3,90,0.53,8,0,0,38.1,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00121,C-04,Centre D - Ranaghat Krishak Mandi,8.8,Wheat,1660.0,16:00 - 18:00,3,90,0.44,3,0,1,16.8,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
TRUE,DEMO-00122,C-03,Centre C - Memari Procurement Depot,10.6,Mustard,1470.0,12:00 - 14:00,2,60,0.55,2,0,0,16.3,SYNTHETIC DEMO LOG FOR DEVELOPMENT/TESTING ONLY
